author,year,allocation,yi,vi,dr,study
Aronson,1948,random,-0.8893,0.3256,1.0,Aronson (1948)
Ferguson & Simes,1949,random,-1.5854,0.1946,1.0,Ferguson & Simes (1949)
Rosenthal et al.,1960,random,-1.3481,0.4154,1.0,Rosenthal et al. (1960)
Hart & Sutherland,1977,random,-1.4416,0.02,1.0,Hart & Sutherland (1977)
Frimodt-Moller et al.,1973,alternate,-0.2175,0.0512,0.5,Frimodt-Moller et al. (1973)
Stein & Aronson,1953,alternate,-0.7861,0.0069,0.5,Stein & Aronson (1953)
Vandiviere et al.,1973,random,-1.6209,0.223,1.0,Vandiviere et al. (1973)
TPT Madras,1980,random,0.012,0.004,1.0,TPT Madras (1980)
Coetzee & Berjak,1968,random,-0.4694,0.0564,1.0,Coetzee & Berjak (1968)
Rosenthal et al.,1961,systematic,-1.3713,0.073,0.0,Rosenthal et al. (1961)
Comstock et al.,1974,systematic,-0.3394,0.0124,0.0,Comstock et al. (1974)
Comstock & Webster,1969,systematic,0.4459,0.5325,0.0,Comstock & Webster (1969)
Comstock et al.,1976,systematic,-0.0173,0.0714,0.0,Comstock et al. (1976)
